AGE,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,BEHAVIOR,COUNT,POPULATION,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,PERCENT POPULATION AFFECTED
0-19,0,0.1,0,Benign/Borderline,20,40151698,Female,Choroid plexus,2014,0,0.1,0,4.98111E-05
0-19,0.1,0.1,0.1,Benign/Borderline,31,40146685,Female,Choroid plexus,2015,0.1,0.1,0.1,7.72168E-05
0-19,0,0.1,0.1,Benign/Borderline,23,40165280,Female,Choroid plexus,2016,0,0.1,0.1,5.72634E-05
0-19,0.1,0.1,0.1,Benign/Borderline,33,40141655,Female,Choroid plexus,2017,0.1,0.1,0.1,8.22089E-05
0-19,0.2,0.3,0.2,Benign/Borderline,83,39865121,Female,Craniopharyngioma,2004,0.2,0.3,0.2,0.000208202
0-19,0.2,0.2,0.2,Benign/Borderline,78,39998876,Female,Craniopharyngioma,2005,0.2,0.2,0.2,0.000195005
0-19,0.2,0.2,0.2,Benign/Borderline,77,40165421,Female,Craniopharyngioma,2006,0.2,0.2,0.2,0.000191707
0-19,0.2,0.3,0.2,Benign/Borderline,96,40382360,Female,Craniopharyngioma,2007,0.2,0.3,0.2,0.000237728
0-19,0.1,0.2,0.2,Benign/Borderline,64,40576293,Female,Craniopharyngioma,2008,0.1,0.2,0.2,0.000157728
0-19,0.2,0.3,0.2,Benign/Borderline,91,40670476,Female,Craniopharyngioma,2009,0.2,0.3,0.2,0.00022375
0-19,0.2,0.3,0.2,Benign/Borderline,92,40632802,Female,Craniopharyngioma,2010,0.2,0.3,0.2,0.000226418
0-19,0.2,0.3,0.2,Benign/Borderline,86,40459979,Female,Craniopharyngioma,2011,0.2,0.3,0.2,0.000212556
0-19,0.2,0.2,0.2,Benign/Borderline,78,40305950,Female,Craniopharyngioma,2012,0.2,0.2,0.2,0.00019352
0-19,0.2,0.3,0.2,Benign/Borderline,89,40209737,Female,Craniopharyngioma,2013,0.2,0.3,0.2,0.000221339
0-19,0.2,0.2,0.2,Benign/Borderline,406,200815055,Female,Craniopharyngioma,2013-2017,0.2,0.2,0.2,0.000202176
0-19,0.2,0.3,0.2,Benign/Borderline,91,40151698,Female,Craniopharyngioma,2014,0.2,0.3,0.2,0.00022664
0-19,0.2,0.3,0.2,Benign/Borderline,81,40146685,Female,Craniopharyngioma,2015,0.2,0.3,0.2,0.00020176
0-19,0.1,0.2,0.2,Benign/Borderline,67,40165280,Female,Craniopharyngioma,2016,0.1,0.2,0.2,0.000166811
0-19,0.2,0.2,0.2,Benign/Borderline,78,40141655,Female,Craniopharyngioma,2017,0.2,0.2,0.2,0.000194312
0-19,0,0.1,0.1,Malignant,20,39865121,Female,Diffuse astrocytoma,2004,0,0.1,0.1,5.01692E-05
0-19,0,0.1,0,Malignant,20,39998876,Female,Diffuse astrocytoma,2005,0,0.1,0.1,5.00014E-05
0-19,0,0.1,0,Malignant,17,40382360,Female,Diffuse astrocytoma,2007,0,0.1,0,4.20976E-05
0-19,0,0.1,0.1,Malignant,21,40576293,Female,Diffuse astrocytoma,2008,0,0.1,0.1,5.17544E-05
0-19,0,0.1,0,Malignant,18,40670476,Female,Diffuse astrocytoma,2009,0,0.1,0,4.42581E-05
0-19,0,0.1,0,Malignant,19,40632802,Female,Diffuse astrocytoma,2010,0,0.1,0,4.67603E-05
0-19,0,0,0,Malignant,20,200815055,Female,Diffuse astrocytoma,2013-2017,0,0,0,9.95941E-06
0-19,0.5,0.6,0.5,Malignant,215,39865121,Female,Embryonal/primitive/medulloblastoma,2004,0.5,0.6,0.5,0.000539319
0-19,0.4,0.5,0.5,Malignant,186,39998876,Female,Embryonal/primitive/medulloblastoma,2005,0.4,0.5,0.5,0.000465013
0-19,0.4,0.6,0.5,Malignant,203,40165421,Female,Embryonal/primitive/medulloblastoma,2006,0.4,0.6,0.5,0.00050541
0-19,0.5,0.6,0.5,Malignant,220,40382360,Female,Embryonal/primitive/medulloblastoma,2007,0.5,0.6,0.5,0.000544792
0-19,0.5,0.6,0.6,Malignant,229,40576293,Female,Embryonal/primitive/medulloblastoma,2008,0.5,0.6,0.6,0.000564369
0-19,0.4,0.6,0.5,Malignant,205,40670476,Female,Embryonal/primitive/medulloblastoma,2009,0.4,0.6,0.5,0.000504051
0-19,0.4,0.5,0.4,Malignant,175,40632802,Female,Embryonal/primitive/medulloblastoma,2010,0.4,0.5,0.4,0.000430687
0-19,0.4,0.6,0.5,Malignant,196,40459979,Female,Embryonal/primitive/medulloblastoma,2011,0.4,0.6,0.5,0.000484429
0-19,0.4,0.5,0.4,Malignant,180,40305950,Female,Embryonal/primitive/medulloblastoma,2012,0.4,0.5,0.4,0.000446584
0-19,0.4,0.5,0.5,Malignant,186,40209737,Female,Embryonal/primitive/medulloblastoma,2013,0.4,0.5,0.5,0.000462575
0-19,0.4,0.5,0.5,Malignant,933,200815055,Female,Embryonal/primitive/medulloblastoma,2013-2017,0.4,0.5,0.5,0.000464607
0-19,0.5,0.6,0.5,Malignant,211,40151698,Female,Embryonal/primitive/medulloblastoma,2014,0.5,0.6,0.5,0.000525507
0-19,0.4,0.5,0.5,Malignant,191,40146685,Female,Embryonal/primitive/medulloblastoma,2015,0.4,0.5,0.5,0.000475755
0-19,0.4,0.5,0.4,Malignant,179,40165280,Female,Embryonal/primitive/medulloblastoma,2016,0.4,0.5,0.4,0.000445659
0-19,0.4,0.5,0.4,Malignant,166,40141655,Female,Embryonal/primitive/medulloblastoma,2017,0.4,0.5,0.4,0.000413536
0-19,0,0.1,0.1,Benign/Borderline,21,40459979,Female,Ependymoma variants,2011,0,0.1,0.1,5.19031E-05
0-19,0,0.1,0,Benign/Borderline,16,40305950,Female,Ependymoma variants,2012,0,0.1,0,3.96964E-05
0-19,0,0.1,0,Benign/Borderline,17,40209737,Female,Ependymoma variants,2013,0,0.1,0,4.22783E-05
0-19,0,0,0,Benign/Borderline,65,200815055,Female,Ependymoma variants,2013-2017,0,0,0,3.23681E-05
0-19,0.2,0.3,0.2,Malignant,97,39865121,Female,Ependymoma/anaplastic ependymoma,2004,0.2,0.3,0.2,0.00024332
0-19,0.2,0.3,0.3,Malignant,111,39998876,Female,Ependymoma/anaplastic ependymoma,2005,0.2,0.3,0.3,0.000277508
0-19,0.2,0.3,0.2,Malignant,99,40165421,Female,Ependymoma/anaplastic ependymoma,2006,0.2,0.3,0.2,0.000246481
0-19,0.1,0.2,0.2,Malignant,71,40382360,Female,Ependymoma/anaplastic ependymoma,2007,0.1,0.2,0.2,0.000175819
0-19,0.1,0.2,0.2,Malignant,75,40576293,Female,Ependymoma/anaplastic ependymoma,2008,0.1,0.2,0.2,0.000184837
0-19,0.2,0.2,0.2,Malignant,81,40670476,Female,Ependymoma/anaplastic ependymoma,2009,0.2,0.2,0.2,0.000199162
0-19,0.2,0.3,0.2,Malignant,93,40632802,Female,Ependymoma/anaplastic ependymoma,2010,0.2,0.3,0.2,0.000228879
0-19,0.2,0.3,0.2,Malignant,99,40459979,Female,Ependymoma/anaplastic ependymoma,2011,0.2,0.3,0.2,0.000244686
0-19,0.2,0.3,0.2,Malignant,88,40305950,Female,Ependymoma/anaplastic ependymoma,2012,0.2,0.3,0.2,0.00021833
0-19,0.2,0.3,0.2,Malignant,90,40209737,Female,Ependymoma/anaplastic ependymoma,2013,0.2,0.3,0.2,0.000223826
0-19,0.2,0.2,0.2,Malignant,442,200815055,Female,Ependymoma/anaplastic ependymoma,2013-2017,0.2,0.2,0.2,0.000220103
0-19,0.2,0.3,0.2,Malignant,87,40151698,Female,Ependymoma/anaplastic ependymoma,2014,0.2,0.3,0.2,0.000216678
0-19,0.2,0.3,0.2,Malignant,91,40146685,Female,Ependymoma/anaplastic ependymoma,2015,0.2,0.3,0.2,0.000226669
0-19,0.2,0.2,0.2,Malignant,78,40165280,Female,Ependymoma/anaplastic ependymoma,2016,0.2,0.2,0.2,0.000194198
0-19,0.2,0.3,0.2,Malignant,96,40141655,Female,Ependymoma/anaplastic ependymoma,2017,0.2,0.3,0.2,0.000239153
0-19,0.1,0.1,0.1,Malignant,42,39865121,Female,Germ Cell Tumors,2004,0.1,0.1,0.1,0.000105355
0-19,0.1,0.2,0.1,Malignant,47,39998876,Female,Germ Cell Tumors,2005,0.1,0.2,0.1,0.000117503
0-19,0,0.1,0,Benign/Borderline,17,40165421,Female,Germ Cell Tumors,2006,0,0.1,0,4.2325E-05
0-19,0,0.1,0.1,Malignant,24,40165421,Female,Germ Cell Tumors,2006,0,0.1,0.1,5.97529E-05
0-19,0.1,0.1,0.1,Malignant,33,40382360,Female,Germ Cell Tumors,2007,0.1,0.1,0.1,8.17188E-05
0-19,0,0.1,0,Benign/Borderline,17,40576293,Female,Germ Cell Tumors,2008,0,0.1,0,4.18964E-05
0-19,0.1,0.1,0.1,Malignant,30,40576293,Female,Germ Cell Tumors,2008,0,0.1,0.1,7.39348E-05
0-19,0,0.1,0,Benign/Borderline,19,40670476,Female,Germ Cell Tumors,2009,0,0.1,0,4.67169E-05
0-19,0.1,0.1,0.1,Malignant,43,40670476,Female,Germ Cell Tumors,2009,0.1,0.1,0.1,0.000105728
0-19,0,0.1,0.1,Benign/Borderline,21,40632802,Female,Germ Cell Tumors,2010,0,0.1,0.1,5.16824E-05
0-19,0.1,0.2,0.1,Malignant,52,40632802,Female,Germ Cell Tumors,2010,0.1,0.2,0.1,0.000127975
0-19,0,0.1,0.1,Benign/Borderline,22,40459979,Female,Germ Cell Tumors,2011,0,0.1,0.1,5.43747E-05
0-19,0.1,0.1,0.1,Malignant,37,40459979,Female,Germ Cell Tumors,2011,0.1,0.1,0.1,9.14484E-05
0-19,0,0.1,0,Benign/Borderline,16,40305950,Female,Germ Cell Tumors,2012,0,0.1,0,3.96964E-05
0-19,0,0.1,0.1,Malignant,21,40305950,Female,Germ Cell Tumors,2012,0,0.1,0.1,5.21015E-05
0-19,0,0.1,0,Benign/Borderline,19,40209737,Female,Germ Cell Tumors,2013,0,0.1,0,4.72522E-05
0-19,0.1,0.2,0.1,Malignant,47,40209737,Female,Germ Cell Tumors,2013,0.1,0.2,0.1,0.000116887
0-19,0,0.1,0,Benign/Borderline,97,200815055,Female,Germ Cell Tumors,2013-2017,0,0.1,0,4.83032E-05
0-19,0.1,0.1,0.1,Malignant,228,200815055,Female,Germ Cell Tumors,2013-2017,0.1,0.1,0.1,0.000113537
0-19,0,0.1,0.1,Benign/Borderline,23,40151698,Female,Germ Cell Tumors,2014,0,0.1,0.1,5.72828E-05
0-19,0.1,0.1,0.1,Malignant,34,40151698,Female,Germ Cell Tumors,2014,0.1,0.1,0.1,8.46789E-05
0-19,0,0.1,0,Benign/Borderline,18,40146685,Female,Germ Cell Tumors,2015,0,0.1,0,4.48356E-05
0-19,0.1,0.2,0.1,Malignant,46,40146685,Female,Germ Cell Tumors,2015,0.1,0.2,0.1,0.00011458
0-19,0,0.1,0.1,Benign/Borderline,24,40165280,Female,Germ Cell Tumors,2016,0,0.1,0.1,5.97531E-05
0-19,0.1,0.2,0.1,Malignant,58,40165280,Female,Germ Cell Tumors,2016,0.1,0.2,0.1,0.000144403
0-19,0.1,0.1,0.1,Malignant,43,40141655,Female,Germ Cell Tumors,2017,0.1,0.1,0.1,0.000107121
0-19,0.1,0.2,0.1,Malignant,52,39865121,Female,Glioblastoma,2004,0.1,0.2,0.1,0.00013044
0-19,0.1,0.1,0.1,Malignant,39,39998876,Female,Glioblastoma,2005,0.1,0.1,0.1,9.75027E-05
0-19,0.1,0.1,0.1,Malignant,44,40165421,Female,Glioblastoma,2006,0.1,0.1,0.1,0.000109547
0-19,0.1,0.2,0.1,Malignant,59,40382360,Female,Glioblastoma,2007,0.1,0.2,0.1,0.000146103
0-19,0.1,0.2,0.2,Malignant,62,40576293,Female,Glioblastoma,2008,0.1,0.2,0.2,0.000152799
0-19,0.1,0.1,0.1,Malignant,39,40670476,Female,Glioblastoma,2009,0.1,0.1,0.1,9.58927E-05
0-19,0.1,0.2,0.1,Malignant,51,40632802,Female,Glioblastoma,2010,0.1,0.2,0.1,0.000125514
0-19,0.1,0.2,0.2,Malignant,75,40459979,Female,Glioblastoma,2011,0.1,0.2,0.2,0.000185368
0-19,0.1,0.2,0.2,Malignant,75,40305950,Female,Glioblastoma,2012,0.1,0.2,0.2,0.000186077
0-19,0.1,0.2,0.2,Malignant,71,40209737,Female,Glioblastoma,2013,0.1,0.2,0.2,0.000176574
0-19,0.1,0.2,0.2,Malignant,324,200815055,Female,Glioblastoma,2013-2017,0.1,0.2,0.2,0.000161342
0-19,0.1,0.2,0.2,Malignant,67,40151698,Female,Glioblastoma,2014,0.1,0.2,0.2,0.000166867
0-19,0.1,0.2,0.2,Malignant,68,40146685,Female,Glioblastoma,2015,0.1,0.2,0.2,0.000169379
0-19,0.1,0.2,0.1,Malignant,54,40165280,Female,Glioblastoma,2016,0.1,0.2,0.1,0.000134444
0-19,0.1,0.2,0.2,Malignant,64,40141655,Female,Glioblastoma,2017,0.1,0.2,0.2,0.000159435
0-19,0.5,0.7,0.6,Malignant,233,39865121,Female,"Glioma malignant, NOS",2004,0.5,0.7,0.6,0.000584471
0-19,0.5,0.7,0.6,Malignant,237,39998876,Female,"Glioma malignant, NOS",2005,0.5,0.7,0.6,0.000592517
0-19,0.5,0.7,0.6,Malignant,245,40165421,Female,"Glioma malignant, NOS",2006,0.5,0.7,0.6,0.000609977
0-19,0.6,0.8,0.7,Malignant,267,40382360,Female,"Glioma malignant, NOS",2007,0.6,0.7,0.7,0.00066118
0-19,0.6,0.8,0.7,Malignant,281,40576293,Female,"Glioma malignant, NOS",2008,0.6,0.8,0.7,0.000692523
0-19,0.7,0.8,0.7,Malignant,297,40670476,Female,"Glioma malignant, NOS",2009,0.6,0.8,0.7,0.000730259
0-19,0.6,0.7,0.7,Malignant,263,40632802,Female,"Glioma malignant, NOS",2010,0.6,0.7,0.6,0.00064726
0-19,0,0.1,0,Benign/Borderline,20,40459979,Female,"Glioma malignant, NOS",2011,0,0.1,0,4.94316E-05
0-19,0.7,0.9,0.8,Malignant,310,40459979,Female,"Glioma malignant, NOS",2011,0.7,0.9,0.8,0.000766189
0-19,0,0.1,0,Benign/Borderline,17,40305950,Female,"Glioma malignant, NOS",2012,0,0.1,0,4.21774E-05
0-19,0.5,0.6,0.6,Malignant,226,40305950,Female,"Glioma malignant, NOS",2012,0.5,0.6,0.6,0.000560711
0-19,0.7,0.8,0.7,Malignant,300,40209737,Female,"Glioma malignant, NOS",2013,0.7,0.8,0.7,0.000746088
0-19,0,0.1,0,Benign/Borderline,84,200815055,Female,"Glioma malignant, NOS",2013-2017,0,0.1,0,4.18295E-05
0-19,0.7,0.8,0.7,Malignant,1427,200815055,Female,"Glioma malignant, NOS",2013-2017,0.7,0.7,0.7,0.000710604
0-19,0.6,0.7,0.7,Malignant,265,40151698,Female,"Glioma malignant, NOS",2014,0.6,0.7,0.7,0.000659997
0-19,0.6,0.8,0.7,Malignant,271,40146685,Female,"Glioma malignant, NOS",2015,0.6,0.8,0.7,0.000675025
0-19,0,0.1,0.1,Benign/Borderline,23,40165280,Female,"Glioma malignant, NOS",2016,0,0.1,0.1,5.72634E-05
0-19,0.7,0.8,0.7,Malignant,300,40165280,Female,"Glioma malignant, NOS",2016,0.7,0.8,0.7,0.000746914
0-19,0,0.1,0,Benign/Borderline,18,40141655,Female,"Glioma malignant, NOS",2017,0,0.1,0,4.48412E-05
0-19,0.6,0.8,0.7,Malignant,291,40141655,Female,"Glioma malignant, NOS",2017,0.6,0.8,0.7,0.000724933
0-19,0,0.1,0,Benign/Borderline,19,39998876,Female,Hemangioblastoma,2005,0,0.1,0,4.75013E-05
0-19,0,0.1,0,Benign/Borderline,18,40382360,Female,Hemangioblastoma,2007,0,0.1,0,4.45739E-05
0-19,0,0.1,0,Benign/Borderline,16,40670476,Female,Hemangioblastoma,2009,0,0.1,0,3.93406E-05
0-19,0,0.1,0,Benign/Borderline,19,40209737,Female,Hemangioblastoma,2013,0,0.1,0,4.72522E-05
0-19,0,0.1,0,Benign/Borderline,96,200815055,Female,Hemangioblastoma,2013-2017,0,0.1,0,4.78052E-05
0-19,0.1,0.1,0.1,Benign/Borderline,30,40151698,Female,Hemangioblastoma,2014,0.1,0.1,0.1,7.47166E-05
0-19,0,0.1,0,Benign/Borderline,16,40146685,Female,Hemangioblastoma,2015,0,0.1,0,3.98539E-05
0-19,0,0.1,0.1,Benign/Borderline,21,40165280,Female,Hemangioblastoma,2016,0,0.1,0.1,5.2284E-05
0-19,0,0.1,0.1,Benign/Borderline,24,39998876,Female,Hemangioma,2005,0,0.1,0.1,6.00017E-05
0-19,0.1,0.1,0.1,Benign/Borderline,35,40165421,Female,Hemangioma,2006,0.1,0.1,0.1,8.71396E-05
0-19,0.1,0.1,0.1,Benign/Borderline,31,40382360,Female,Hemangioma,2007,0.1,0.1,0.1,7.67662E-05
0-19,0.1,0.1,0.1,Benign/Borderline,46,40576293,Female,Hemangioma,2008,0.1,0.2,0.1,0.000113367
0-19,0.1,0.2,0.1,Benign/Borderline,53,40670476,Female,Hemangioma,2009,0.1,0.2,0.1,0.000130316
0-19,0.1,0.1,0.1,Benign/Borderline,44,40632802,Female,Hemangioma,2010,0.1,0.1,0.1,0.000108287
0-19,0.1,0.2,0.2,Benign/Borderline,72,40459979,Female,Hemangioma,2011,0.1,0.2,0.2,0.000177954
0-19,0.1,0.2,0.2,Benign/Borderline,66,40305950,Female,Hemangioma,2012,0.1,0.2,0.2,0.000163748
0-19,0.1,0.2,0.2,Benign/Borderline,62,40209737,Female,Hemangioma,2013,0.1,0.2,0.2,0.000154192
0-19,0.1,0.2,0.1,Benign/Borderline,298,200815055,Female,Hemangioma,2013-2017,0.1,0.2,0.1,0.000148395
0-19,0.1,0.2,0.2,Benign/Borderline,64,40151698,Female,Hemangioma,2014,0.1,0.2,0.2,0.000159396
0-19,0.1,0.2,0.2,Benign/Borderline,73,40146685,Female,Hemangioma,2015,0.1,0.2,0.2,0.000181833
0-19,0.1,0.2,0.1,Benign/Borderline,51,40165280,Female,Hemangioma,2016,0.1,0.2,0.1,0.000126975
0-19,0.1,0.2,0.1,Benign/Borderline,48,40141655,Female,Hemangioma,2017,0.1,0.2,0.1,0.000119577
0-19,0,0,0,Malignant,22,200815055,Female,Lymphomas and Hematopoietic Neoplasms,2013-2017,0,0,0,1.09554E-05
0-19,0.1,0.2,0.1,Benign/Borderline,46,39865121,Female,Meningioma,2004,0.1,0.2,0.1,0.000115389
0-19,0.1,0.2,0.2,Benign/Borderline,74,39998876,Female,Meningioma,2005,0.1,0.2,0.2,0.000185005
0-19,0.1,0.2,0.1,Benign/Borderline,50,40165421,Female,Meningioma,2006,0.1,0.2,0.1,0.000124485
0-19,0.1,0.2,0.1,Benign/Borderline,55,40382360,Female,Meningioma,2007,0.1,0.2,0.1,0.000136198
0-19,0.1,0.2,0.1,Benign/Borderline,61,40576293,Female,Meningioma,2008,0.1,0.2,0.2,0.000150334
0-19,0.1,0.2,0.1,Benign/Borderline,58,40670476,Female,Meningioma,2009,0.1,0.2,0.1,0.00014261
0-19,0.1,0.2,0.1,Benign/Borderline,60,40632802,Female,Meningioma,2010,0.1,0.2,0.1,0.000147664
0-19,0.1,0.2,0.2,Benign/Borderline,67,40459979,Female,Meningioma,2011,0.1,0.2,0.2,0.000165596
0-19,0.1,0.2,0.2,Benign/Borderline,64,40305950,Female,Meningioma,2012,0.1,0.2,0.2,0.000158785
0-19,0.1,0.2,0.2,Benign/Borderline,76,40209737,Female,Meningioma,2013,0.1,0.2,0.2,0.000189009
0-19,0.2,0.2,0.2,Benign/Borderline,342,200815055,Female,Meningioma,2013-2017,0.2,0.2,0.2,0.000170306
0-19,0,0,0,Malignant,21,200815055,Female,Meningioma,2013-2017,0,0,0,1.04574E-05
0-19,0.1,0.2,0.2,Benign/Borderline,67,40151698,Female,Meningioma,2014,0.1,0.2,0.2,0.000166867
0-19,0.1,0.2,0.2,Benign/Borderline,66,40146685,Female,Meningioma,2015,0.1,0.2,0.2,0.000164397
0-19,0.1,0.2,0.2,Benign/Borderline,69,40165280,Female,Meningioma,2016,0.1,0.2,0.2,0.00017179
0-19,0.1,0.2,0.2,Benign/Borderline,64,40141655,Female,Meningioma,2017,0.1,0.2,0.2,0.000159435
0-19,0,0.1,0.1,Malignant,22,39865121,Female,Mixed glioma,2004,0,0.1,0.1,5.51861E-05
0-19,0,0.1,0,Malignant,17,39998876,Female,Mixed glioma,2005,0,0.1,0,4.25012E-05
0-19,0,0.1,0,Malignant,17,40382360,Female,Mixed glioma,2007,0,0.1,0,4.20976E-05
0-19,0,0.1,0.1,Malignant,21,40576293,Female,Mixed glioma,2008,0,0.1,0.1,5.17544E-05
0-19,0,0.1,0,Malignant,17,40670476,Female,Mixed glioma,2009,0,0.1,0,4.17994E-05
0-19,0,0,0,Malignant,32,200815055,Female,Mixed glioma,2013-2017,0,0,0,1.59351E-05
0-19,0.1,0.1,0.1,Benign/Borderline,32,39865121,Female,"Neoplasm, unspecified",2004,0.1,0.1,0.1,8.02707E-05
0-19,0,0.1,0.1,Malignant,27,39865121,Female,"Neoplasm, unspecified",2004,0,0.1,0.1,6.77284E-05
0-19,0.1,0.2,0.1,Benign/Borderline,57,39998876,Female,"Neoplasm, unspecified",2005,0.1,0.2,0.1,0.000142504
0-19,0,0.1,0,Malignant,19,39998876,Female,"Neoplasm, unspecified",2005,0,0.1,0,4.75013E-05
0-19,0.1,0.2,0.1,Benign/Borderline,51,40165421,Female,"Neoplasm, unspecified",2006,0.1,0.2,0.1,0.000126975
0-19,0,0.1,0.1,Malignant,26,40165421,Female,"Neoplasm, unspecified",2006,0,0.1,0.1,6.47323E-05
0-19,0.1,0.2,0.1,Benign/Borderline,52,40382360,Female,"Neoplasm, unspecified",2007,0.1,0.2,0.1,0.000128769
